Store's Types;City;DATE;UnitsSold
ECI stores;LA CORUÑA;01/03/2019;2
ECI stores;LA CORUÑA;02/03/2019;81
ECI stores;LA CORUÑA;04/03/2019;42
ECI stores;LA CORUÑA;07/03/2019;57
ECI stores;LA CORUÑA;08/03/2019;33
ECI stores;LA CORUÑA;09/03/2019;48
ECI stores;LA CORUÑA;11/03/2019;24
ECI stores;LA CORUÑA;12/03/2019;0
ECI stores;LA CORUÑA;14/03/2019;24
ECI stores;LA CORUÑA;15/03/2019;0
ECI stores;LA CORUÑA;18/03/2019;57
ECI stores;LA CORUÑA;20/03/2019;24
ECI stores;LA CORUÑA;22/03/2019;33
ECI stores;LA CORUÑA;23/03/2019;81
ECI stores;LA CORUÑA;25/03/2019;33
ECI stores;LA CORUÑA;26/03/2019;2
ECI stores;LA CORUÑA;27/03/2019;-24
ECI stores;LA CORUÑA;28/03/2019;24
ECI stores;LA CORUÑA;29/03/2019;66
ECI stores;LA CORUÑA;30/03/2019;66
ECI stores;LA CORUÑA;01/04/2019;66
ECI stores;LA CORUÑA;02/04/2019;57
ECI stores;LA CORUÑA;03/04/2019;2
ECI stores;LA CORUÑA;04/04/2019;66
ECI stores;LA CORUÑA;06/04/2019;72
ECI stores;LA CORUÑA;09/04/2019;33
ECI stores;LA CORUÑA;10/04/2019;33
ECI stores;LA CORUÑA;11/04/2019;57
ECI stores;LA CORUÑA;12/04/2019;42
ECI stores;LA CORUÑA;13/04/2019;42
ECI stores;LA CORUÑA;15/04/2019;33
ECI stores;LA CORUÑA;16/04/2019;2
ECI stores;LA CORUÑA;17/04/2019;66
ECI stores;LA CORUÑA;18/04/2019;123
ECI stores;LA CORUÑA;20/04/2019;153
ECI stores;ALBACETE;01/03/2019;357
ECI stores;ALBACETE;02/03/2019;405
ECI stores;ALBACETE;04/03/2019;405
ECI stores;ALBACETE;05/03/2019;177
ECI stores;ALBACETE;06/03/2019;252
ECI stores;ALBACETE;07/03/2019;153
ECI stores;ALBACETE;08/03/2019;147
ECI stores;ALBACETE;09/03/2019;333
ECI stores;ALBACETE;11/03/2019;219
ECI stores;ALBACETE;12/03/2019;252
ECI stores;ALBACETE;13/03/2019;234
ECI stores;ALBACETE;14/03/2019;195
ECI stores;ALBACETE;15/03/2019;357
ECI stores;ALBACETE;16/03/2019;477
ECI stores;ALBACETE;18/03/2019;81
ECI stores;ALBACETE;19/03/2019;258
ECI stores;ALBACETE;20/03/2019;228
ECI stores;ALBACETE;21/03/2019;138
ECI stores;ALBACETE;22/03/2019;276
ECI stores;ALBACETE;23/03/2019;528
ECI stores;ALBACETE;25/03/2019;147
ECI stores;ALBACETE;26/03/2019;333
ECI stores;ALBACETE;27/03/2019;324
