Store,Channel,StoreType,Cap
1,O,STR,9384
2,O,MALL,7249
3,O,STR,6945
5,O,STR,8885
7,O,MALL,7491
8,O,STR,7329
9,O,STR,13823
10,O,STR,11308
11,O,MALL,5619
12,O,STR,15328
13,O,STR,10655
14,O,STR,6561
15,O,STR,5673
17,O,STR,11503
18,O,MALL,5757
19,O,STR,8608
21,O,STR,4275
22,O,MALL,9111
23,O,STR,17081
25,O,MALL,7001
26,FC,MALL,6041
27,O,STR,4994
28,O,STR,7169
29,O,STR,8215
30,O,STR,16888
31,O,STR,12352
32,FC,MALL,3913
33,O,STR,9602
35,C,CRN,1344
36,O,STR,7631
37,C,CRN,1371
39,O,STR,11880
39,O,STR,11880
42,O,STR,7380
44,C,CRN,2038
46,C,CRN,1469
48,C,CRN,1252
51,C,CRN,1616
52,O,STR,19642
53,O,STR,8021
55,O,STR,12520
56,O,STR,7099
57,O,STR,11236
58,FC,MALL,5923
61,C,CRN,1725
62,C,CRN,1524
66,O,STR,7415
67,FC,MALL,4637
68,C,CRN,1467
70,F,STR,4369
71,A,CRN,3895
72,A,CRN,8280
74,A,CRN,3193
